,ID,Tweet,Source,Date,Likes,Retweet
0,1339037540779700226,Talent-acquisition manager Melisa Medrano shares how candidates for industry positions in cell-biology can tailor t… https://t.co/vRAdcjsg7e,Sprout Social,2020-12-16 02:40:02,62,9
1,1339021433742225409,"The patchwork of responses intended to fight the COVID-19 pandemic — from temporary lockdowns to mask wearing, soci… https://t.co/7LyyaDniFr",Sprout Social,2020-12-16 01:36:02,50,11
2,1338979615142981632,"In a neat chemical sleight-of-hand, researchers can swap out the ions in microscopic structures without disturbing… https://t.co/9slZhVu2bO",Sprout Social,2020-12-15 22:49:51,61,12
3,1338899030756220930,"@mvankerkhove @WHO Thanks for letting us know re: the quarantine guidance, I'll pass this on to the news team.",Twitter Web App,2020-12-15 17:29:39,2,0
4,1338896356241502208,"A COVID vaccine developer, an Arctic voyager and a prime minister are some of the people behind the year’s big rese… https://t.co/z0WPSMH3gG",Sprout Social,2020-12-15 17:19:01,238,65
5,1338884535946186755,"Five cell biologists working at biotechnology, biomedical and pharmaceutical companies offer tips on how to craft a… https://t.co/U8DaSOdfOi",Sprout Social,2020-12-15 16:32:03,91,25
6,1338868122078466051,A paper in Nature reports that histone H1 mutations act as genetic driver mutations in B-cell lymphomas and reveals… https://t.co/GhBunAwfID,Sprout Social,2020-12-15 15:26:49,89,19
7,1338817084244029441,A Nature paper reports genetic variants that are linked to the development of life-threatening illness in patients… https://t.co/vK1ZrfD4tP,Sprout Social,2020-12-15 12:04:01,184,79
8,1338815520569761794,"RT @nature: Sign up for Nature Briefing and be entered to win this fun set of lab based board games including Lovelace &amp; Babbage, History H…",Twitter Web App,2020-12-15 11:57:48,0,15
9,1338675159469846528,A new study in Nature identifies a Fos-induced reorganization of local inhibition in hippocampus after behavioral e… https://t.co/EGzgQTj1hA,Sprout Social,2020-12-15 02:40:04,96,20
10,1338659049836081158,News &amp; Views: Computational models published in Nature show that regionally varied prices for carbon emissions can… https://t.co/yfDvP54DQR,Sprout Social,2020-12-15 01:36:03,34,13
11,1338617203764178944,Lake and pond ecosystems created by artisanal gold miners in Peru convert a worrying amount of mercury — a common p… https://t.co/8NZtdxclGb,Sprout Social,2020-12-14 22:49:46,38,14
12,1338521875283128322,A Nature paper reports that data from high-energy collisions between protons can be used to investigate the little-… https://t.co/oPLZvJRdE8,Sprout Social,2020-12-14 16:30:58,78,21
13,1338505745675988994,High-tech tools are increasingly being consolidated into specialized centres. People running these facilities need… https://t.co/t8N4v7dW20,Sprout Social,2020-12-14 15:26:52,38,3
14,1338487257657913345,Sign up for Nature Briefing and be entered to win this fun set of lab based board games including Lovelace &amp; Babbag… https://t.co/1yMgZ2TYrn,Twitter for Advertisers (legacy),2020-12-14 14:13:24,50,15
15,1338468911000526850,A study in Nature reports a new approach to map the spatial structure of microbial communities.… https://t.co/8eQEAix4OI,Sprout Social,2020-12-14 13:00:30,80,14
16,1338328618267766785,Research published in Nature reports the presence of soft X-ray bubbles extending 14 kpc above and below the center… https://t.co/rtamMs0lTz,Sprout Social,2020-12-14 03:43:02,106,18
17,1338312506113200129,Mud volcanoes are an unpredictable and dangerous phenomenon — but now scientists have a better understanding of how… https://t.co/oEXyRafSRd,Sprout Social,2020-12-14 02:39:00,97,20
18,1338296405153239043,"A paper in Nature presents a resource of dependencies of metastases, the “MetMap.” An analyses of many cancer cell… https://t.co/YDwbYeNfCi",Sprout Social,2020-12-14 01:35:01,126,40
19,1338254671794888705,"Editorial: The foundations are being laid for better science, and the more hands that join in this important effort… https://t.co/WESMOwUQ6Q",Sprout Social,2020-12-13 22:49:11,145,27
20,1338159307481878530,Machine learning applied to the fossil record shows that mass extinctions aren't necessarily followed by bursts of… https://t.co/hdI5rHy01F,Sprout Social,2020-12-13 16:30:15,138,47
21,1338143274943516673,The world’s population is estimated to reach 10 billion by 2050. Providing everyone with a nutritious diet and prot… https://t.co/DkZbfgOsXN,Sprout Social,2020-12-13 15:26:32,171,51
22,1338113192871006209,Rebekah Baglini and Christine Parsons show how small tweaks to language in peer reviews can make words wound or exp… https://t.co/gOvIIaosdX,Sprout Social,2020-12-13 13:27:00,167,47
23,1337966224362377219,News &amp; Views: A Nature paper presents an analogue of the psychedelic drug ibogaine. The analogue mirrors ibogaine’s… https://t.co/dqAkhjfPsD,Sprout Social,2020-12-13 03:43:00,147,25
24,1337950121745666049,Ancient teeth hint that a handful of sites served as sheltered sanctuaries for immature megalodon sharks.… https://t.co/v2aWK4qRUK,Sprout Social,2020-12-13 02:39:01,143,22
25,1337934015677030400,Research published in Nature reports a method for studying the strong interaction between any pair of hadrons – inc… https://t.co/WP8OTvGo4T,Sprout Social,2020-12-13 01:35:01,71,18
26,1337892379576197121,On the latest episode of a Working Scientist podcast special series: Postdocs and other early-career researchers ne… https://t.co/Dq9vNjo4Ma,Sprout Social,2020-12-12 22:49:34,59,8
27,1337796902054727680,News &amp; Views: Structural data revealing how an anti-tuberculosis drug works could aid efforts to improve therapeuti… https://t.co/WophqkU5dv,Sprout Social,2020-12-12 16:30:11,173,31
28,1337780921479651328,"Moderately differentiated carbon prices can produce almost as much climate mitigation as a globally uniform price,… https://t.co/TLRDHp7MB1",Sprout Social,2020-12-12 15:26:41,48,16
29,1337727904717942786,Bacteria that thrive in the guts of humans and other mammals make a molecule that goads crucial immune cells into a… https://t.co/VoTgxLGJR6,Sprout Social,2020-12-12 11:56:00,296,68
30,1337603843316715522,A paper in Nature describes a new rationale for why multisubunit complexes are maintained over evolution: the need… https://t.co/lnP4SDFcYX,Sprout Social,2020-12-12 03:43:02,170,28
31,1337587731975860224,Editorial: The global race to produce COVID vaccines is a chance for regulators and drug companies to create a more… https://t.co/60ZcMh7NOA,Sprout Social,2020-12-12 02:39:01,64,16
32,1337571629136818177,A paper in Nature uses tiny channels prepared from 2D materials to investigate capillary condensation at the atomic… https://t.co/n4NR35HPwu,Sprout Social,2020-12-12 01:35:01,49,12
33,1337530087453941765,A Nature paper reports genetic variants that are linked to the development of life-threatening illness in patients… https://t.co/bMrwekSRXi,Sprout Social,2020-12-11 22:49:57,312,106
34,1337446431213449218,"RT @kellybkrause: #dataviz on our latest @nature cover: cancer research visualized with #PetalPlots, a new tool for mapping metastasis. ""Ut…",Twitter Web App,2020-12-11 17:17:32,0,17
35,1337434716543340548,“Researchers and governments need to come together to develop a comprehensive strategy for preventing and managing… https://t.co/Gj68BBK9oC,Sprout Social,2020-12-11 16:30:59,67,21
36,1337418546268295169,This week on the Nature podcast: How water chemistry is shifting researchers' thoughts on where life might have ari… https://t.co/KVqGz5IvvS,Sprout Social,2020-12-11 15:26:44,57,12
37,1337386908004081664,"At more than 10 kilometres deep, the Mariana Trench in the Pacific Ocean might seem remote enough to be pristine. B… https://t.co/QhGqhv6uQZ",Sprout Social,2020-12-11 13:21:00,143,45
38,1337357840881758211,"RT @nature: Sign up for Nature Briefing and be entered to win this fun set of lab based board games including Lovelace &amp; Babbage, History H…",Twitter Web App,2020-12-11 11:25:30,0,8
39,1337241450820591617,News &amp; Views: Dinosaur relatives called pterosaurs are the earliest known flying vertebrates. The branch of the evo… https://t.co/7cSZ0szgK3,Sprout Social,2020-12-11 03:43:01,137,31
40,1337225345485987842,"A study in Nature demonstrates that, through careful chemical design, it is possible to modify a psychedelic compou… https://t.co/OKKqZd53IX",Sprout Social,2020-12-11 02:39:01,232,51
